Track name,Artist name,Album,Playlist name,Type,ISRC
"Bring Me The Horizon - sTraNgeRs","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon · BABYMETAL - Kingslayer","","","Tudo e qualquer coisa","Playlist",""
"AWOLNATION · Aaron Bruno · Zach Irons - Panoramic View","","","Tudo e qualquer coisa","Playlist",""
"Friday Pilots Club - Spectator","","","Tudo e qualquer coisa","Playlist",""
"The Wombats · Matthew Murphy · Dan Haggis · Tord Øverland Knudsen - Wildfire","","","Tudo e qualquer coisa","Playlist",""
"Young the Giant - Panoramic Girl","","","Tudo e qualquer coisa","Playlist",""
"SIAMES · GONZO · BLAKK · STÖLTZ - All The Best","","","Tudo e qualquer coisa","Playlist",""
"The Warning - Sharks","","","Tudo e qualquer coisa","Playlist",""
"Krooked Kings - Sick of Being Young","","","Tudo e qualquer coisa","Playlist",""
"COIN · Tommy English · Chase Lawrence · Joseph Memmel · Ryan Winnen · Gabe Simon - Crash My Car","","","Tudo e qualquer coisa","Playlist",""
"Ghost - Mary On A Cross","","","Tudo e qualquer coisa","Playlist",""
"half·alive - Maybe","","","Tudo e qualquer coisa","Playlist",""
"Everything Everything - Only As Good As My God","","","Tudo e qualquer coisa","Playlist",""
"Bastille - Remind Me","","","Tudo e qualquer coisa","Playlist",""
"Balu Brigada - So Cold","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - LosT","","","Tudo e qualquer coisa","Playlist",""
"Beach Weather - High In Low Places","","","Tudo e qualquer coisa","Playlist",""
"Bad Suns - Disappear Here","","","Tudo e qualquer coisa","Playlist",""
"Big Wild - Touch","","","Tudo e qualquer coisa","Playlist",""
"half•alive - Sophie’s House","","","Tudo e qualquer coisa","Playlist",""
"MAN WITH A MISSION - Dark Crow","","","Tudo e qualquer coisa","Playlist",""
"C418 - Subwoofer Lullaby","","","Tudo e qualquer coisa","Playlist",""
"twenty one pilots - Routines In The Night","","","Tudo e qualquer coisa","Playlist",""
"twenty one pilots - Navigating","","","Tudo e qualquer coisa","Playlist",""
"Survive Said The Prophet - Mukanjyo","","","Tudo e qualquer coisa","Playlist",""
"Faye Webster - Kingston","","","Tudo e qualquer coisa","Playlist",""
"Adele - Skyfall","","","Tudo e qualquer coisa","Playlist",""
"liana flores - rises the moon","","","Tudo e qualquer coisa","Playlist",""
"HOYO-MiX · Cécilia Cara · HOYO-MiX · HOYO-MiX - La vaguelette","","","Tudo e qualquer coisa","Playlist",""
"Tokyo Ghoul - 'Alone' with Lyrics","","","Tudo e qualquer coisa","Playlist",""
"Zhou Shen · HOYO-MiX · 蔡近翰 · TetraCalyx · 宫奇 Gon · 宫奇 Gon · 宫奇 Gon · 杨启翔 Frex · 杨启翔 Frex · 蔡近翰 - Rubia","","","Tudo e qualquer coisa","Playlist",""
"HOYO-MiX · Ayanga · 林一凡 · TetraCalyx · 宫奇 Gon · 宫奇 Gon · 宫奇 Gon · 林一凡 Fan - Regression","","","Tudo e qualquer coisa","Playlist",""
"Hikaru Utada - Don't Think Twice","","","Tudo e qualquer coisa","Playlist",""
"MYTH & ROID - Endless Embrace","","","Tudo e qualquer coisa","Playlist",""
"Loren Allred - No Promises to Keep (FINAL FANTASY VII REBIRTH THEME SONG)","","","Tudo e qualquer coisa","Playlist",""
"Hiroyuki Sawano - So ist es immer","","","Tudo e qualquer coisa","Playlist",""
"Aimer - Torches","","","Tudo e qualquer coisa","Playlist",""
"Lyn · Rike Schmalz · 目黒将司 · 目黒将司 - Beneath the Mask -rain-","","","Tudo e qualquer coisa","Playlist",""
"Laura Shigihara - Everything's Alright (From ""To the Moon"")","","","Tudo e qualquer coisa","Playlist",""
"ARIANNE - Komm, süsser Tod／甘き死よ、来たれ (M-10 Director's Edit. Version)","","","Tudo e qualquer coisa","Playlist",""
"Stefanie Joosten · Ludvig Forssell · Akihiro Honda - Quiet's Theme","","","Tudo e qualquer coisa","Playlist",""
"Samuel Kim, Lorien - Let You Down","","","Tudo e qualquer coisa","Playlist",""
"XAI · Satoru Kosaki · XAI · Satoru Kosaki · Satoru Kosaki - 明日を訪ねて（TVアニメ『薬屋のひとりごと』挿入歌）","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Quixotic","","","Tudo e qualquer coisa","Playlist",""
"Aimer - Inochini Fusawashii","","","Tudo e qualquer coisa","Playlist",""
"Mili - Gunners in the Rain","","","Tudo e qualquer coisa","Playlist",""
"Hiroyuki Sawano - I Want To Know","","","Tudo e qualquer coisa","Playlist",""
"珂拉琪 · 夏子·拉里又斯 · 王家權 - Nine Sols","","","Tudo e qualquer coisa","Playlist",""
"Nowlu - Linaria","","","Tudo e qualquer coisa","Playlist",""
"Max LL - What Will You Leave Behind (End Titles)","","","Tudo e qualquer coisa","Playlist",""
"Wønder - I Really Want To Stay at Your House (Piano Version)","","","Tudo e qualquer coisa","Playlist",""
"Taisei Iwasaki · Ai Ninomiya - World Goes Round","","","Tudo e qualquer coisa","Playlist",""
"Kevin Penkin - Gravity ft. Arnór Dan","","","Tudo e qualquer coisa","Playlist",""
"Masayoshi Soken · Michael–Christopher Koji Fox · Masayoshi Soken · Keiko - My Star","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Far East Princess","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Memory of Beach","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Misty Er'A","","","Tudo e qualquer coisa","Playlist",""
"Shiro SAGISU · Hazel Fernandes - Going Home - her sights","","","Tudo e qualquer coisa","Playlist",""
"RYUSENKEI - TRICOT","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Proposal, Flower, Wolf Part 1 (Golden)","","","Tudo e qualquer coisa","Playlist",""
"Pretty Patterns · RINO · Davis West - 70047 (feat. RINO & Davis West)","","","Tudo e qualquer coisa","Playlist",""
"Lollia · insaneintherainmusic - No More What Ifs","","","Tudo e qualquer coisa","Playlist",""
"Darren Korb - Paper Boats (feat. Ashley Barrett)","","","Tudo e qualquer coisa","Playlist",""
"AmaLee · Theishter - Orange (From “Your Lie in April”)","","","Tudo e qualquer coisa","Playlist",""
"ko.yo · SHIFT UP - White Night","","","Tudo e qualquer coisa","Playlist",""
"Chewie Melodies · Pealeaf - Great Desert","","","Tudo e qualquer coisa","Playlist",""
"Beícoli - Through The Wind","","","Tudo e qualquer coisa","Playlist",""
"ryoko - Sayoko (English Version)","","","Tudo e qualquer coisa","Playlist",""
"Soulful Tracks Only - What You Told Me","","","Tudo e qualquer coisa","Playlist",""
"Sunday Moon - Somebody","","","Tudo e qualquer coisa","Playlist",""
"Tokyo Music Walker - Intersection","","","Tudo e qualquer coisa","Playlist",""
"ko.yo · Aejin Kwon · SHIFT UP - Wasteland (Reboot Type C)","","","Tudo e qualquer coisa","Playlist",""
"Jolianne · Jolianne Salvado - Sweet Memories","","","Tudo e qualquer coisa","Playlist",""
"Lies of P - Feel","","","Tudo e qualquer coisa","Playlist",""
"Motoi Sakuraba · Motoi Sakuraba - Nameless Song","","","Tudo e qualquer coisa","Playlist",""
"The Smiths - Back to the Old House (2008 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Talk Talk - It's My Life","","","Tudo e qualquer coisa","Playlist",""
"a-ha - You Are the One (Remix) (2016 Remaster)","","","Tudo e qualquer coisa","Playlist",""
"Daryl Hall & John Oates - Out of Touch","","","Tudo e qualquer coisa","Playlist",""
"Boston - More Than a Feeling","","","Tudo e qualquer coisa","Playlist",""
"Anri - Fly By Day","","","Tudo e qualquer coisa","Playlist",""
